shape: (102, 6)
┌──────────┬──────────┬───────────────┬───────────┬────────────────────────┬─────────────────────┐
│ Sensor 1 ┆ Sensor 2 ┆ Paired Points ┆ DC Offset ┆ Tracking Variation STD ┆ Pearson Correlation │
│ ---      ┆ ---      ┆ ---           ┆ ---       ┆ ---                    ┆ ---                 │
│ 20B      ┆ 20C      ┆ 28270         ┆ -6.65     ┆ 17.66                  ┆ 0.979               │
│ 20B      ┆ 30A      ┆ 28270         ┆ 90.48     ┆ 16.18                  ┆ 0.979               │
│ 20B      ┆ 30B      ┆ 28263         ┆ 49.12     ┆ 17.19                  ┆ 0.978               │
│ 20B      ┆ 40A      ┆ 28270         ┆ 9.27      ┆ 17.92                  ┆ 0.977               │
│ 20B      ┆ 40B      ┆ 28270         ┆ 21.43     ┆ 14.07                  ┆ 0.986               │
│ 20B      ┆ 40C      ┆ 28271         ┆ -0.87     ┆ 18.97                  ┆ 0.981               │
│ 20B      ┆ 40D      ┆ 28272         ┆ -19.98    ┆ 22.67                  ┆ 0.964               │
│ 20B      ┆ 40E      ┆ 28272         ┆ 51.2      ┆ 14.95                  ┆ 0.983               │
│ 20B      ┆ 40F      ┆ 28266         ┆ -22.61    ┆ 17.13                  ┆ 0.98                │
│ 20B      ┆ SP1      ┆ 27009         ┆ 38.11     ┆ 14.59                  ┆ 0.988               │
│ 20B      ┆ SP2      ┆ 28269         ┆ 85.67     ┆ 11.21                  ┆ 0.99                │
│ 20B      ┆ SP3      ┆ 28267         ┆ -36.66    ┆ 21.19                  ┆ 0.989               │
│ SP1      ┆ 0A       ┆ 27009         ┆ -50.82    ┆ 10.34                  ┆ 0.992               │
│ SP1      ┆ 0B       ┆ 27009         ┆ -60.38    ┆ 12.66                  ┆ 0.989               │
│ SP1      ┆ 10A      ┆ 27009         ┆ -26.88    ┆ 11.72                  ┆ 0.99                │
│ SP1      ┆ 10B      ┆ 27009         ┆ -31.94    ┆ 15.47                  ┆ 0.987               │
│ SP1      ┆ 20A      ┆ 27009         ┆ -97.4     ┆ 12.44                  ┆ 0.99                │
│ SP1      ┆ 20B      ┆ 27009         ┆ -38.11    ┆ 14.59                  ┆ 0.988               │
│ SP1      ┆ 20C      ┆ 27009         ┆ -45.92    ┆ 14.15                  ┆ 0.985               │
│ SP1      ┆ 30A      ┆ 27009         ┆ 50.72     ┆ 14.66                  ┆ 0.984               │
│ SP1      ┆ 30B      ┆ 27009         ┆ 9.86      ┆ 12.23                  ┆ 0.989               │
│ SP1      ┆ 40A      ┆ 27009         ┆ -30.13    ┆ 13.57                  ┆ 0.986               │
│ SP1      ┆ 40B      ┆ 27009         ┆ -17.42    ┆ 11.95                  ┆ 0.989               │
│ SP1      ┆ 40C      ┆ 27009         ┆ -39.96    ┆ 12.13                  ┆ 0.991               │
